订单id,乘客人数,出发地坐标经纬度,目的地坐标经纬度,服务时间,最早服务时间,最晚服务时间,订单类型
251,2,117.663619;24.520761,118.050888;24.577268,4,2023/2/20 7:30,2023/2/20 9:40,1
252,1,117.675425;24.515657,118.13862;24.540399,1,2023/2/20 19:00,2023/2/20 22:20,1
253,1,117.653827;24.519197,118.124821;24.521466,2,2023/2/20 11:00,2023/2/20 14:30,1
254,1,117.666458;24.508181,118.16833420898;24.507659020116,2,2023/2/20 10:00,2023/2/20 12:20,1
255,2,117.652196;24.518144,118.16833420898;24.507659020116,3,2023/2/20 14:30,2023/2/20 16:40,1
256,1,117.644497;24.521711,118.099525;24.444959,3,2023/2/20 13:00,2023/2/20 16:20,1
257,1,117.68581;24.509089,118.090702;24.497068,3,2023/2/20 16:20,2023/2/20 18:20,1
258,1,117.685299;24.508767,118.107601;24.516244,3,2023/2/20 10:00,2023/2/20 12:30,1
259,2,117.666567;24.530413,118.133645;24.507608,2,2023/2/20 18:00,2023/2/20 21:00,1
260,2,117.653576;24.51893,118.14888;24.496463,1,2023/2/20 18:10,2023/2/20 21:00,1
261,2,117.66534;24.523673,118.13562807693;24.519151966485,1,2023/2/20 19:40,2023/2/20 21:00,1
262,1,117.744312;24.5016,118.14257;24.529641,1,2023/2/20 12:00,2023/2/20 14:10,1
263,2,117.63201;24.560829,118.173406;24.530138,4,2023/2/20 16:00,2023/2/20 18:30,1
264,2,117.652196;24.518144,118.133645;24.507608,3,2023/2/20 14:20,2023/2/20 17:00,1
265,1,117.658291;24.508098,118.135384;24.516712,2,2023/2/20 14:40,2023/2/20 16:30,1
266,2,117.73498502265;24.508076247999,118.19496964299;24.524006793623,2,2023/2/20 8:40,2023/2/20 11:30,1
267,2,117.705381;24.510971,118.16527599967;24.482964841817,4,2023/2/20 13:00,2023/2/20 16:00,1
268,2,117.637117;24.529246,118.113195006;24.530036019212,4,2023/2/20 11:10,2023/2/20 13:00,1
269,2,117.664683;24.524534,118.12252904755;24.520747106379,4,2023/2/20 18:30,2023/2/20 21:00,1
270,3,117.673729;24.512663,118.090051;24.457238,2,2023/2/20 10:00,2023/2/20 13:40,1
271,1,117.693853;24.506097,118.15941;24.532654,1,2023/2/20 12:30,2023/2/20 15:40,1
272,1,117.632608;24.56147,118.193738;24.491354,2,2023/2/20 7:30,2023/2/20 9:10,1
273,1,117.7177485771;24.516862899166,118.116142;24.479526,4,2023/2/20 12:20,2023/2/20 14:00,1
274,2,117.64097017245;24.531762440422,118.122648;24.473529,2,2023/2/20 19:30,2023/2/20 22:20,1
275,1,117.663619;24.520761,118.087474;24.452838,4,2023/2/20 6:30,2023/2/20 8:10,1
276,2,117.729857;24.513476,118.120612;24.476031,3,2023/2/20 14:00,2023/2/20 16:40,1
277,2,117.668889;24.502953,118.155309;24.499216,3,2023/2/20 8:20,2023/2/20 10:40,1
278,2,117.666263;24.51183,118.105219;24.51341,1,2023/2/20 18:30,2023/2/20 20:40,1
279,3,117.660499;24.516339,118.1387578164;24.540415963197,2,2023/2/20 15:10,2023/2/20 18:40,1
280,2,117.684146;24.503435,118.12807502824;24.502151101371,4,2023/2/20 19:00,2023/2/20 21:20,1
281,1,117.687103;24.521095,118.105219;24.51341,2,2023/2/20 6:10,2023/2/20 8:30,1
282,1,117.662295;24.529239,118.158971;24.515599,1,2023/2/20 6:00,2023/2/20 9:10,1
283,3,117.677894;24.527694,118.093865;24.444818,3,2023/2/20 11:20,2023/2/20 13:00,1
284,1,117.635755;24.544899,118.110609;24.509667,2,2023/2/20 8:30,2023/2/20 11:00,1
285,3,117.668166;24.51658,118.169626;24.531906,3,2023/2/20 19:20,2023/2/20 22:20,1
286,3,117.667749;24.514869,118.079681;24.461028,1,2023/2/20 13:40,2023/2/20 15:20,1
287,3,117.652196;24.518144,118.200545;24.489846,4,2023/2/20 19:00,2023/2/20 22:00,1
288,1,117.623012;24.532703,118.133164;24.509944,2,2023/2/20 19:20,2023/2/20 22:00,1
289,1,117.641137;24.529225,118.094885;24.468485,1,2023/2/20 12:00,2023/2/20 14:10,1
290,2,117.729484;24.503786,118.1387578164;24.540415963197,2,2023/2/20 8:00,2023/2/20 11:00,1
291,2,117.672602;24.504549,118.15185;24.496112,3,2023/2/20 11:00,2023/2/20 14:20,1
292,2,117.693897;24.517636,118.196072;24.537479,1,2023/2/20 15:00,2023/2/20 17:10,1
293,2,117.673671;24.525962,118.15475;24.550039,3,2023/2/20 18:00,2023/2/20 20:30,1
294,3,117.671789;24.504716,118.168959;24.498488,1,2023/2/20 17:30,2023/2/20 20:10,1
295,3,117.663595;24.523633,118.122859;24.531129,2,2023/2/20 13:00,2023/2/20 16:00,1
296,1,117.684146;24.503435,118.183157;24.51437,3,2023/2/20 8:10,2023/2/20 11:00,1
297,3,117.693897;24.517636,118.08369799442;24.469602226903,1,2023/2/20 15:00,2023/2/20 18:30,1
298,1,117.685299;24.508767,118.089013;24.458939,4,2023/2/20 11:00,2023/2/20 14:00,1
299,3,117.739493;24.521201,118.054595;24.502596,3,2023/2/20 19:00,2023/2/20 21:20,1
300,2,117.653827;24.519197,118.17195;24.538409,3,2023/2/20 15:30,2023/2/20 17:30,1
301,2,117.663853;24.515806,118.118158;24.522245,2,2023/2/20 10:20,2023/2/20 13:20,1
302,2,117.676667;24.528841,118.08076545846;24.471986051948,2,2023/2/20 18:00,2023/2/20 20:00,1
303,2,117.629486;24.519133,118.16250268886;24.532157900431,1,2023/2/20 10:00,2023/2/20 13:00,1
304,2,117.661016;24.514304,118.125328;24.539735,2,2023/2/20 17:00,2023/2/20 19:30,1
305,2,117.66143;24.519705,118.125328;24.539735,2,2023/2/20 12:00,2023/2/20 14:10,1
306,2,117.679378;24.527422,118.096155;24.475096,4,2023/2/20 15:10,2023/2/20 18:00,1
307,1,117.664673;24.515106,118.179523;24.473734,1,2023/2/20 10:00,2023/2/20 13:00,1
308,2,117.667781;24.522926,118.08076545846;24.471986051948,2,2023/2/20 10:20,2023/2/20 12:20,1
309,3,117.660339;24.512871,118.125328;24.539735,2,2023/2/20 7:20,2023/2/20 9:40,1
310,3,117.693897;24.517636,118.079595;24.460984,1,2023/2/20 15:00,2023/2/20 17:40,1
311,3,117.674293;24.502819,118.149764;24.497763,3,2023/2/20 7:30,2023/2/20 9:10,1
312,2,117.654245;24.538085,118.185433;24.473161,3,2023/2/20 19:00,2023/2/20 21:30,1
313,1,117.681411;24.503378,118.096155;24.475096,3,2023/2/20 12:20,2023/2/20 14:00,1
314,2,117.674204;24.508199,118.137764;24.540182,4,2023/2/20 18:40,2023/2/20 21:20,1
315,2,117.684242;24.503223,118.122792;24.487778,3,2023/2/20 10:40,2023/2/20 13:00,1
316,2,117.684146;24.503434,118.090512;24.485162,2,2023/2/20 6:00,2023/2/20 9:00,1
317,1,117.689016;24.514667,118.173406;24.530138,2,2023/2/20 7:00,2023/2/20 9:20,1
318,1,117.652196;24.518144,118.186194;24.477463,4,2023/2/20 14:20,2023/2/20 17:20,1
319,3,117.664281;24.508203,118.082938;24.461349,1,2023/2/20 13:30,2023/2/20 16:00,1
320,1,117.663619;24.520761,118.126096;24.497345,4,2023/2/20 19:10,2023/2/20 21:00,1
321,1,117.667497;24.515857,118.099118;24.460559,3,2023/2/20 10:00,2023/2/20 12:40,1
322,3,117.738998;24.520093,118.167077;24.484783,3,2023/2/20 7:00,2023/2/20 9:00,1
323,1,117.663323;24.515571,118.13502454853;24.497762392952,1,2023/2/20 14:10,2023/2/20 16:00,1
324,2,117.676399;24.509324,118.133551;24.521115,4,2023/2/20 8:10,2023/2/20 11:00,1
325,3,117.633028;24.527163,118.096668;24.474708,4,2023/2/20 10:10,2023/2/20 12:00,1
326,2,117.685299;24.508767,118.118841;24.500348,1,2023/2/20 13:30,2023/2/20 16:00,1
327,2,117.68016670301;24.498549432579,118.165155;24.535233,4,2023/2/20 15:40,2023/2/20 17:00,1
328,2,117.68016670301;24.498549432579,118.13359115453;24.506045892843,1,2023/2/20 8:30,2023/2/20 11:00,1
329,3,117.730625;24.505608,118.117604;24.438399,2,2023/2/20 8:00,2023/2/20 10:30,1
330,3,117.674186;24.512202,118.049719;24.577756,2,2023/2/20 14:20,2023/2/20 17:40,1
331,1,117.639903;24.529357,118.095974;24.441872,1,2023/2/20 16:40,2023/2/20 19:00,1
332,3,117.68851397968;24.507091413068,118.138773;24.4925,4,2023/2/20 8:40,2023/2/20 10:30,1
333,3,117.68581;24.509089,118.09464877011;24.442448866989,2,2023/2/20 14:00,2023/2/20 16:10,1
334,1,117.729857;24.513476,118.158877;24.482632,3,2023/2/20 12:00,2023/2/20 14:00,1
335,1,117.637989;24.525836,118.185433;24.473161,4,2023/2/20 15:20,2023/2/20 18:40,1
336,1,117.653827;24.519197,118.09964671435;24.444033467883,3,2023/2/20 16:30,2023/2/20 18:30,1
337,3,117.687297;24.5209,118.15941;24.532654,4,2023/2/20 15:00,2023/2/20 17:20,1
338,3,117.685299;24.508767,118.147324;24.484622,1,2023/2/20 6:00,2023/2/20 9:00,1
339,1,117.674186;24.512202,118.186194;24.477463,4,2023/2/20 7:00,2023/2/20 9:40,1
340,1,117.668713;24.508097,118.023006;24.527145,3,2023/2/20 16:20,2023/2/20 18:00,1
341,1,117.678517;24.506916,118.07975;24.462483,4,2023/2/20 13:30,2023/2/20 16:20,1
342,1,117.635755;24.544899,118.182606;24.495634,3,2023/2/20 13:00,2023/2/20 15:20,1
343,2,117.661372;24.513342,118.183899;24.510833,1,2023/2/20 6:40,2023/2/20 9:40,1
344,2,117.678178;24.523221,118.099967;24.462083,3,2023/2/20 14:00,2023/2/20 17:10,1
345,2,117.680527;24.526679,118.159488;24.534066,1,2023/2/20 11:40,2023/2/20 13:30,1
346,1,117.654491;24.529778,118.08196;24.46649,4,2023/2/20 6:00,2023/2/20 9:40,1
347,2,117.664673;24.515106,118.16567838961;24.483279331615,2,2023/2/20 8:20,2023/2/20 10:20,1
348,1,117.643563;24.543397,118.147092;24.479889,3,2023/2/20 11:40,2023/2/20 13:00,1
349,1,117.684811;24.512424,118.09341;24.457563,4,2023/2/20 13:40,2023/2/20 16:10,1
350,1,117.660499;24.516339,118.110425;24.508104,4,2023/2/20 7:00,2023/2/20 10:10,1
351,3,117.685299;24.508767,118.144359;24.518434,4,2023/2/20 11:40,2023/2/20 14:00,1
352,1,117.678399;24.516346,118.147092;24.479889,1,2023/2/20 11:40,2023/2/20 13:40,1
353,3,117.6781;24.520257,118.165619;24.515831,1,2023/2/20 9:20,2023/2/20 12:20,1
354,2,117.666246;24.521817,118.156758;24.520388,1,2023/2/20 9:40,2023/2/20 11:40,1
355,2,117.65585680152;24.509459129599,118.13711;24.491168,1,2023/2/20 6:40,2023/2/20 8:10,1
356,3,117.667487;24.539748,118.12264841386;24.473528693312,1,2023/2/20 13:20,2023/2/20 16:30,1
357,3,117.653827;24.519197,118.04546465701;24.495098016183,1,2023/2/20 6:00,2023/2/20 9:40,1
358,3,117.667399;24.503491,118.05025994394;24.497187662334,2,2023/2/20 8:30,2023/2/20 10:10,1
359,1,117.663619;24.520761,118.05025994394;24.497187662334,4,2023/2/20 15:40,2023/2/20 18:00,1
360,2,117.707707;24.512052,118.015099;24.486881,4,2023/2/20 13:20,2023/2/20 15:00,1
361,3,117.656649;24.531181,118.140685;24.531679,1,2023/2/20 16:40,2023/2/20 19:10,1
362,1,117.693897;24.517636,118.149345;24.483388,2,2023/2/20 13:10,2023/2/20 15:10,1
363,2,117.658291;24.508098,118.186194;24.477463,3,2023/2/20 6:40,2023/2/20 9:00,1
364,1,117.660499;24.516339,118.14888;24.496465,4,2023/2/20 19:00,2023/2/20 22:20,1
365,2,117.73011450784;24.504428140432,118.12537475229;24.504158341814,1,2023/2/20 6:00,2023/2/20 9:00,1
366,1,117.660081;24.498861,118.159693;24.505406,2,2023/2/20 7:30,2023/2/20 9:40,1
367,2,117.744312;24.5016,118.138311;24.539495,3,2023/2/20 14:30,2023/2/20 17:30,1
368,3,117.688378;24.52427,118.128111;24.485402,2,2023/2/20 15:30,2023/2/20 17:00,1
369,1,117.678899;24.515901,118.099333;24.475537,3,2023/2/20 7:20,2023/2/20 10:40,1
370,2,117.684146;24.503435,118.006311;24.533633,2,2023/2/20 18:00,2023/2/20 21:20,1
371,4,117.66154;24.518553,118.174427;24.528098,3,2023/2/20 8:00,2023/2/20 10:30,1
372,4,117.69036743751;24.519298495169,118.184026;24.510897,2,2023/2/20 15:40,2023/2/20 17:10,1
373,1,117.68044;24.500882,118.136503;24.496323,1,2023/2/20 9:40,2023/2/20 12:00,1
374,3,117.673642;24.531074,118.080553;24.642667,1,2023/2/20 15:10,2023/2/20 18:20,1
375,1,117.655283;24.518147,118.138311;24.539495,2,2023/2/20 6:00,2023/2/20 8:00,1
376,2,117.644972;24.517535,118.16725;24.491793,1,2023/2/20 11:10,2023/2/20 14:00,1
377,1,117.660339;24.512871,118.104327;24.478256,2,2023/2/20 19:00,2023/2/20 22:00,1
378,3,117.658205;24.524301,118.164449;24.502682,2,2023/2/20 16:00,2023/2/20 19:20,1
379,3,117.71755883428;24.518932698977,118.032864;24.496845,4,2023/2/20 6:20,2023/2/20 8:30,1
380,3,117.693539;24.507078,118.186194;24.477463,1,2023/2/20 19:20,2023/2/20 22:10,1
381,3,117.655283;24.518147,118.098932;24.480796,1,2023/2/20 14:30,2023/2/20 16:00,1
382,2,117.674172;24.503738,118.138758;24.540416,3,2023/2/20 6:00,2023/2/20 8:10,1
383,2,117.684146;24.503435,118.180729;24.51145,2,2023/2/20 6:30,2023/2/20 8:00,1
384,2,117.676667;24.528841,118.039564;24.490319,2,2023/2/20 6:40,2023/2/20 8:30,1
385,2,117.684146;24.503435,118.125121;24.498909,1,2023/2/20 6:40,2023/2/20 9:00,1
386,2,117.639899;24.531025,118.090533;24.485235,1,2023/2/20 6:10,2023/2/20 8:00,1
387,4,117.721507;24.508256,118.200411;24.500944,3,2023/2/20 12:00,2023/2/20 15:40,1
388,1,117.732329;24.52226,118.15475;24.550039,1,2023/2/20 8:40,2023/2/20 11:10,1
389,2,117.664673;24.515106,118.052052;24.502756,2,2023/2/20 11:00,2023/2/20 13:10,1
390,2,117.729484;24.503786,118.117279;24.510359,2,2023/2/20 8:10,2023/2/20 11:30,1
391,2,117.661917;24.530747,118.15935182953;24.537041078899,3,2023/2/20 14:10,2023/2/20 16:20,1
392,4,117.661917;24.530747,118.090811;24.502339,3,2023/2/20 9:30,2023/2/20 11:00,1
393,2,117.643071;24.526515,118.194281;24.475824,3,2023/2/20 6:20,2023/2/20 8:10,1
394,2,117.694232;24.499381,118.179905;24.480962,4,2023/2/20 7:10,2023/2/20 10:10,1
395,2,117.64100688838;24.52798818223,118.142907;24.482641,2,2023/2/20 12:20,2023/2/20 14:30,1
396,2,117.693651;24.517527,118.15935182953;24.537041078899,2,2023/2/20 18:00,2023/2/20 20:00,1
397,4,117.667009;24.515251,118.138195;24.540459,3,2023/2/20 19:00,2023/2/20 22:30,1
398,4,117.717647;24.515842,118.1697845459;24.534706115723,2,2023/2/20 8:20,2023/2/20 10:00,1
399,3,117.68900804771;24.514661700443,118.194281;24.475824,1,2023/2/20 6:10,2023/2/20 9:00,1
400,4,117.65816;24.532614,118.032864;24.496845,4,2023/2/20 14:20,2023/2/20 17:00,1
401,3,117.667253;24.519621,118.166113;24.480687,4,2023/2/20 15:00,2023/2/20 17:00,1
402,3,117.645695;24.514471,118.132307;24.4952,2,2023/2/20 16:00,2023/2/20 18:20,1
403,3,117.678399;24.516346,118.099967;24.462083,4,2023/2/20 7:30,2023/2/20 10:00,1
404,1,117.660499;24.516339,118.133645;24.507608,2,2023/2/20 18:00,2023/2/20 21:00,1
405,3,117.676479;24.511056,118.145918;24.480195,4,2023/2/20 9:00,2023/2/20 12:30,1
406,2,117.654187;24.537701,118.109228;24.528884,3,2023/2/20 19:20,2023/2/20 22:30,1
407,1,117.652196;24.518144,118.133718;24.505791,2,2023/2/20 15:20,2023/2/20 18:00,1
408,3,117.683341;24.500417,118.122648;24.473529,2,2023/2/20 7:20,2023/2/20 9:20,1
409,2,117.665232;24.517371,118.096155;24.475096,3,2023/2/20 19:30,2023/2/20 21:20,1
410,3,117.68770540473;24.508956181341,118.097147;24.474411,1,2023/2/20 7:00,2023/2/20 9:00,1
411,4,117.668641;24.513904,118.079595;24.460984,2,2023/2/20 10:40,2023/2/20 12:30,1
412,2,117.653827;24.519197,118.114027;24.493766,2,2023/2/20 17:00,2023/2/20 20:40,1
413,2,117.676098;24.517359,118.139112;24.533745,2,2023/2/20 12:40,2023/2/20 15:40,1
414,3,117.682965;24.542913,118.10768937829;24.444323386903,1,2023/2/20 17:00,2023/2/20 20:20,1
415,3,117.72855916378;24.504709123976,118.129221;24.491664,1,2023/2/20 10:10,2023/2/20 13:10,1
416,2,117.676667;24.528841,118.1520043031;24.49721400297,2,2023/2/20 10:00,2023/2/20 13:00,1
417,2,117.729484;24.503786,118.038543;24.499683,2,2023/2/20 12:40,2023/2/20 15:20,1
418,3,117.663209;24.505455,118.138498;24.495594,4,2023/2/20 19:10,2023/2/20 21:30,1
419,1,117.665232;24.517371,118.138498;24.495594,2,2023/2/20 16:40,2023/2/20 19:20,1
420,2,117.654245;24.538085,118.127812;24.484965,2,2023/2/20 14:00,2023/2/20 16:10,1
421,2,117.72846089777;24.50613608148,118.19518523631;24.502890978711,2,2023/2/20 12:00,2023/2/20 14:20,1
422,3,117.645695;24.514471,118.137564;24.539125,2,2023/2/20 19:00,2023/2/20 22:30,1
423,4,117.64098203008;24.529200043691,118.172118;24.535849,4,2023/2/20 14:00,2023/2/20 17:00,1
424,2,117.677896;24.527695,118.079595;24.460984,2,2023/2/20 19:30,2023/2/20 21:00,1
425,3,117.696162;24.528436,118.146154;24.498824,4,2023/2/20 10:00,2023/2/20 12:10,1
426,3,117.668641;24.513904,118.194565;24.511086,3,2023/2/20 13:30,2023/2/20 15:30,1
427,2,117.637143;24.524304,118.192959;24.514906,4,2023/2/20 13:00,2023/2/20 15:00,1
428,4,117.683517;24.50819,118.145432;24.514833,2,2023/2/20 6:40,2023/2/20 8:30,1
429,4,117.733087;24.522195,118.184026;24.510897,4,2023/2/20 11:10,2023/2/20 14:00,1
430,1,117.63982;24.533742,118.090433;24.493316,4,2023/2/20 16:40,2023/2/20 19:00,1
431,4,117.64097017245;24.531762440422,118.090433;24.493316,4,2023/2/20 14:00,2023/2/20 16:20,1
432,4,117.688152;24.519815,118.116683067;24.523617089275,1,2023/2/20 15:10,2023/2/20 18:40,1
433,1,117.660499;24.516339,118.094041;24.504566,2,2023/2/20 18:30,2023/2/20 20:10,1
434,2,117.678899;24.515901,118.147598;24.505606,1,2023/2/20 8:20,2023/2/20 11:00,1
435,3,117.654187;24.537701,118.11064;24.510389,3,2023/2/20 9:00,2023/2/20 12:00,1
436,1,117.718741;24.518777,118.186194;24.477463,3,2023/2/20 13:00,2023/2/20 15:10,1
437,3,117.71811;24.539912,118.114722;24.472565,2,2023/2/20 11:20,2023/2/20 13:20,1
438,4,117.660963;24.526124,118.0892456604;24.459917344228,4,2023/2/20 14:00,2023/2/20 17:10,1
439,2,117.66542;24.523621,118.15941;24.532654,2,2023/2/20 16:10,2023/2/20 19:10,1
440,2,117.717647;24.515842,118.08699062523;24.459760478198,1,2023/2/20 13:00,2023/2/20 16:00,1
441,2,117.717647;24.515842,118.129951;24.490355,2,2023/2/20 8:00,2023/2/20 11:30,1
442,1,117.676603;24.511698,118.133645;24.507608,2,2023/2/20 9:30,2023/2/20 11:20,1
443,1,117.65585680152;24.509459129599,118.172303;24.530672,2,2023/2/20 16:00,2023/2/20 18:00,1
444,4,117.67724;24.518549,118.086056;24.490658,1,2023/2/20 13:10,2023/2/20 15:00,1
445,3,117.665102;24.511682,118.195349;24.532548,1,2023/2/20 6:00,2023/2/20 9:00,1
446,3,117.67904;24.515526,118.184026;24.510897,1,2023/2/20 9:40,2023/2/20 11:30,1
447,1,117.681618;24.524566,118.133645;24.507608,1,2023/2/20 15:00,2023/2/20 18:00,1
448,3,117.660446;24.507122,118.139677;24.505126,4,2023/2/20 13:20,2023/2/20 15:30,1
449,2,117.666995;24.538221,118.049719;24.577756,4,2023/2/20 14:40,2023/2/20 17:10,1
450,1,117.684146;24.503435,118.12884537442;24.435253507018,1,2023/2/20 14:30,2023/2/20 17:00,1
451,4,117.663619;24.520761,118.106921;24.532969,4,2023/2/20 13:30,2023/2/20 16:10,1
452,1,117.684242;24.503223,118.04564;24.577717,2,2023/2/20 14:00,2023/2/20 17:10,1
453,3,117.66600621088;24.523152603502,118.123866;24.549233,3,2023/2/20 18:30,2023/2/20 20:30,1
454,2,117.667349;24.503343,118.109004;24.475412,4,2023/2/20 19:00,2023/2/20 21:20,1
455,2,117.696728;24.519241,118.129963;24.43152,3,2023/2/20 19:30,2023/2/20 21:20,1
456,2,117.673943;24.51623,118.066733;24.501597,2,2023/2/20 14:10,2023/2/20 16:00,1
457,2,117.673943;24.51623,118.133645;24.507608,4,2023/2/20 19:20,2023/2/20 21:00,1
458,1,117.68856;24.508477,118.054856;24.49736,2,2023/2/20 16:10,2023/2/20 18:20,1
459,3,117.652253;24.516656,118.147598;24.505606,4,2023/2/20 19:30,2023/2/20 21:10,1
460,1,117.662544;24.530773,118.173948;24.484246,4,2023/2/20 11:00,2023/2/20 13:30,1
461,4,117.685299;24.508767,118.170903;24.53347,2,2023/2/20 9:40,2023/2/20 12:00,1
462,4,117.685299;24.508767,118.16457;24.492842,2,2023/2/20 8:40,2023/2/20 10:40,1
463,2,117.678024;24.515497,118.186487;24.513209,3,2023/2/20 13:00,2023/2/20 16:00,1
464,4,117.693897;24.517636,118.153518;24.536221,4,2023/2/20 10:00,2023/2/20 12:00,1
465,1,117.677316;24.524771,118.184026;24.510897,1,2023/2/20 9:10,2023/2/20 11:40,1
466,4,117.693897;24.517636,118.166586;24.491734,2,2023/2/20 8:20,2023/2/20 11:00,1
467,4,117.645695;24.514471,118.15941;24.532654,2,2023/2/20 11:40,2023/2/20 13:10,1
468,3,117.632974;24.527468,118.122527;24.476574,2,2023/2/20 13:00,2023/2/20 15:20,1
469,1,117.687103;24.521095,118.177526;24.499549,2,2023/2/20 11:00,2023/2/20 13:20,1
470,3,117.682522;24.520232,118.149764;24.497763,4,2023/2/20 19:40,2023/2/20 22:00,1
471,2,117.721507;24.508256,118.131609;24.447829,2,2023/2/20 7:00,2023/2/20 9:40,1
472,1,117.644481;24.526162,118.089013;24.458939,2,2023/2/20 12:00,2023/2/20 15:30,1
473,1,117.685895;24.515537,118.12506972823;24.533883531704,2,2023/2/20 17:00,2023/2/20 20:10,1
474,1,117.631685;24.520506,118.19294324542;24.534032137838,2,2023/2/20 6:00,2023/2/20 8:00,1
475,2,117.639912;24.530677,118.19294324542;24.534032137838,4,2023/2/20 9:00,2023/2/20 12:10,1
476,1,117.635773;24.554106,118.09341;24.457563,4,2023/2/20 18:10,2023/2/20 21:10,1
477,1,117.657835;24.516262,117.99694594363;24.535557867486,3,2023/2/20 7:30,2023/2/20 10:00,1
478,1,117.668187;24.528781,118.086671;24.455731,4,2023/2/20 10:00,2023/2/20 13:40,1
479,1,117.68078;24.499595,118.131609;24.518561,2,2023/2/20 14:20,2023/2/20 16:00,1
480,1,117.668058;24.524292,118.10107267468;24.513195420817,4,2023/2/20 13:30,2023/2/20 15:20,1
481,1,117.641423;24.527483,118.182826;24.476665,3,2023/2/20 19:00,2023/2/20 22:00,1
482,2,117.661865;24.521028,118.133718;24.505791,3,2023/2/20 13:00,2023/2/20 15:20,1
483,2,117.630284;24.523594,118.148656;24.51882,2,2023/2/20 12:20,2023/2/20 14:20,1
484,2,117.692331;24.528825,118.1299632258;24.431520125376,3,2023/2/20 13:20,2023/2/20 15:00,1
485,2,117.676667;24.528841,118.164705;24.663022,3,2023/2/20 18:00,2023/2/20 20:00,1
486,2,117.656891;24.526754,118.123761;24.495817,3,2023/2/20 16:30,2023/2/20 18:20,1
487,1,117.666995;24.538221,118.043032;24.468989,4,2023/2/20 12:00,2023/2/20 15:40,1
488,1,117.631685;24.520506,118.114241;24.554366,1,2023/2/20 14:30,2023/2/20 17:10,1
489,2,117.627094;24.528443,118.138311;24.539495,2,2023/2/20 9:40,2023/2/20 11:00,1
490,2,117.661016;24.514304,118.122648;24.473529,1,2023/2/20 6:20,2023/2/20 8:40,1
491,1,117.717647;24.515842,118.12264841386;24.473528693312,1,2023/2/20 15:00,2023/2/20 17:00,1
492,1,117.906285;24.532037,118.184026;24.510897,2,2023/2/20 15:00,2023/2/20 18:10,1
493,1,117.683642;24.528357,118.127812;24.484965,4,2023/2/20 8:30,2023/2/20 11:40,1
494,2,117.631685;24.520506,118.119256;24.474912,3,2023/2/20 14:30,2023/2/20 17:20,1
495,1,117.677647;24.501857,118.14522982571;24.522038689108,4,2023/2/20 19:00,2023/2/20 21:00,1
496,1,117.689241;24.510645,118.122792;24.445011,2,2023/2/20 16:00,2023/2/20 19:00,1
497,1,117.678899;24.515901,118.122792;24.445011,1,2023/2/20 9:00,2023/2/20 11:20,1
498,2,117.640265;24.528449,118.178902;24.473788,1,2023/2/20 17:00,2023/2/20 20:00,1
499,2,117.717647;24.515842,118.092552;24.461351,1,2023/2/20 14:40,2023/2/20 17:40,1
500,1,117.699982;24.52121,118.194281;24.475824,4,2023/2/20 9:00,2023/2/20 12:40,1
